timestamp_utc,region_code,region_friendly,instance_type,os,tenancy,price_usd
2026-07-18T10:18:32+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-19T10:28:12+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-19T10:28:12+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-19T10:28:12+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-19T10:28:12+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-20T11:45:31+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-20T11:45:31+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-20T11:45:31+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-20T11:45:31+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-21T11:08:46+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-21T11:08:46+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-21T11:08:46+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-21T11:08:46+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-22T11:09:57+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-22T11:09:57+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-22T11:09:57+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-22T11:09:57+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-23T11:09:59+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-23T11:09:59+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-23T11:09:59+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-23T11:09:59+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-24T11:03:13+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-24T11:03:13+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-24T11:03:13+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-24T11:03:13+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-25T10:26:56+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-25T10:26:56+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-25T10:26:56+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-25T10:26:56+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-26T10:44:17+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-26T10:44:17+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-26T10:44:17+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-26T10:44:17+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-27T12:23:29+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-27T12:23:29+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-27T12:23:29+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-27T12:23:29+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-28T11:17:20+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-28T11:17:20+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-28T11:17:20+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-28T11:17:20+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-29T11:25:56+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-29T11:25:56+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-29T11:25:56+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-29T11:25:56+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-30T11:07:44+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-30T11:07:44+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-30T11:07:44+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-30T11:07:44+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-07-31T11:29:28+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-07-31T11:29:28+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-07-31T11:29:28+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-07-31T11:29:28+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-01T10:40:05+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-01T10:40:05+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-01T10:40:05+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-01T10:40:05+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-02T10:41:13+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-02T10:41:13+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-02T10:41:13+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-02T10:41:13+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-03T12:23:36+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-03T12:23:36+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-03T12:23:36+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-03T12:23:36+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-04T11:23:02+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-04T11:23:02+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-04T11:23:02+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-04T11:23:02+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-05T11:20:40+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-05T11:20:40+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-05T11:20:40+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-05T11:20:40+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-06T11:22:46+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-06T11:22:46+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-06T11:22:46+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-06T11:22:46+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-07T10:01:29+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-07T10:01:29+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-07T10:01:29+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-07T10:01:29+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-08T09:37:15+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-08T09:37:15+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-08T09:37:15+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
2026-08-08T09:37:15+00:00,ap-southeast-1,Asia Pacific (Singapore),m5.large,Linux,Shared,0.120000
2026-08-09T09:39:11+00:00,us-east-1,US East (N. Virginia),t3.micro,Linux,Shared,0.010400
2026-08-09T09:39:11+00:00,us-west-2,US West (Oregon),t3.micro,Linux,Shared,0.010400
2026-08-09T09:39:11+00:00,eu-west-1,EU (Ireland),t4g.micro,Linux,Shared,0.009200
